Date,MiddleRate,UpperMargin,LowerMargin
27.07.2022,Rs.  361.00 , +Rs. 1.00  , -Rs. 4.00 
26.07.2022,Rs.  361.00 , +Rs. 1.00  , -Rs. 4.00 
25.07.2022,Rs.  361.09 , +Rs. 1.00  , -Rs. 4.00 
22.07.2022,Rs.  361.30 , +Rs. 1.00  , -Rs. 4.00 
21.07.2022,Rs.  361.67 , +Rs. 1.00  , -Rs. 4.00 
20.07.2022,Rs.  361.87 , +Rs. 1.00  , -Rs. 4.00 
19.07.2022,Rs.  361.17 , +Rs. 1.00  , -Rs. 4.00 
18.07.2022,Rs.  361.03 , +Rs. 1.00  , -Rs. 4.00  
15.07.2022,Rs.  361.24 , +Rs. 1.00  , -Rs. 4.00  
14.07.2022,Rs.  361.90 , +Rs. 1.00  , -Rs. 4.00 
12.07.2022,Rs.  360.90  , +Rs. 1.00  , -Rs. 4.00 
11.07.2022,Rs.  361.35  , +Rs. 1.00  , -Rs. 4.00  
08.07.2022,Rs.  360.35 , +Rs. 1.00  , -Rs. 4.00  
07.07.2022,Rs.  360.82 , +Rs. 1.00  , -Rs. 4.00 
06.07.2022,Rs.  359. 82 , +Rs. 1.00  , -Rs. 4.00  
05.07.2022,Rs.  359.79  , +Rs. 1.00  , -Rs. 4.00 
04.07.2022,Rs.  359.79  , +Rs. 1.00  , -Rs. 4.00 
01.07.2022,Rs.  359. 55 , +Rs. 1.00  , -Rs. 4.00  
30.06.2022,Rs.  359.88 , +Rs. 1.00  , -Rs. 4.00 
29.06.2022,Rs.  359. 72 , +Rs. 1.00  , -Rs. 4.00  
28.06.2022,Rs.  359.90  , +Rs. 1.00  , -Rs. 4.00  
27.06.2022,Rs.  360.30 , +Rs. 1.00  , -Rs. 4.00  
24.06.2022,Rs.  360.30 , +Rs. 1.00  , -Rs. 4.00 
23.06.2022,Rs.  360.90  , +Rs. 1.00  , -Rs. 4.00  
22.06.2022,Rs.  360.90  , +Rs. 1.00  , -Rs. 4.00  
21.06.2022,Rs.  361.75 , +Rs. 1.00  , -Rs. 4.00  
20.06.2022,Rs.  360.75 , +Rs. 1.00  , -Rs. 4.00  
17.06.2022,Rs.  359.75 , +Rs. 1.00  , -Rs. 4.00 
16.06.2022,Rs.  359.8 5 , +Rs. 1.00  , -Rs. 4.00  
15.06.2022,Rs.  359.8 5 , +Rs. 1.00  , -Rs. 4.00  
13.06.2022,Rs.  359.8 3 , +Rs. 1.00  , -Rs. 4.00 
10.06.2022,Rs.  359.80  , +Rs. 1.00  , -Rs. 4.00  
09.06.2022,Rs.  360. 03 , +Rs. 1.00  , -Rs. 4.00  
08.06.2022,Rs.  360. 03 , +Rs. 1.00  , -Rs. 4.00  
07.06.2022,Rs.  360.28  , +Rs. 1.00  , -Rs. 4.00 
03.06.2022,Rs.  360.30 , +Rs. 1.00  , -Rs. 4.00 
02.06.2022,Rs.  360.60 , +Rs. 1.00  , -Rs. 4.00 
01.06.2022,Rs.  360.11 , +1.00  and , -4.00  
31.05.2022,Rs.  360.76  , +1.00  and , -4.00  
30.05.2022,Rs.  360.76 , +1.00  and , -4.00  
27.05.2022,Rs.  359. 25 , +2.50 and , -3.00  
26.05.2022,Rs.  359. 71 , +2.50 and , -3.00  
